Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,fa_degrees,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
agent,9.55,5.0,2.0,0.0007398727578913949,0.08333333333333333,1.4563520749998032e-05,25,8.952682888199332e-06,0.16666666666666666,1.6666666666666667,6,6.605869170139876e-06,4
aggressive,8.32,7.0,3.0,0.0005016314545055466,0.1476923076923077,2.347467114569577e-05,26,8.952518760330005e-06,0.3333333333333333,2.0,3,4.9544018776055958e-06,3
agony,9.22,5.0,3.0,0.00020261016117112095,0.16666666666666666,4.8874799328181369e-05,9,9.18219728717912e-06,0.3333333333333333,3.0,2,6.6058691701393788e-06,4
agree,7.68,4.0,2.0,0.00043837742470515716,0.09333333333333334,4.334562513868329e-05,25,5.0240748538560786e-05,0.38095238095238093,3.2857142857142856,7,2.6423476680556963e-05,15
agreement,8.16,8.0,3.0,0.0006064458555851861,0.09881422924901186,1.8491910802105184e-05,23,2.9239193023170444e-05,0.1,1.8333333333333333,6,8.2573364626742357e-06,5
agriculture,10.32,9.0,4.0,0.00042626073307237546,0.2549019607843137,1.1488997087671447e-05,18,2.2379819750001065e-05,0.23809523809523808,2.75,4,1.1560271047744726e-05,7
aid,7.33,2.0,1.0,0.0002770571290834411,0.11956521739130435,7.8922723393922822e-05,24,2.1338738511550756e-05,0.25,3.1666666666666665,6,2.1469074802953718e-05,8
aim,6.72,2.0,1.0,0.0001378833456894789,0.14285714285714285,2.7006085818202989e-05,14,0.00027786321322785995,0.13043478260869565,3.4545454545454546,11,4.4589616898435678e-05,23
air,3.94,2.0,1.0,0.002128422215534694,0.05789235639981909,0.00031236328313556861,67,0.00029499658633505425,0.11,2.7999999999999998,15,4.4589616898436715e-05,25
alarm,6.39,5.0,2.0,0.0002177178239938042,0.07608695652173914,6.8595847842777745e-05,24,2.9039772436189953e-05,0.2,3.1666666666666665,6,2.1469074802948423e-05,11
alert,8.9,4.0,2.0,0.0005379601129994064,0.0761904761904762,3.911154862946045e-05,21,9.552735547622354e-05,0.23809523809523808,3.2857142857142856,7,2.642347668054629e-05,15
alien,7.5,5.0,3.0,2.50865322099806e-05,0.047619047619047616,1.9894789652857469e-05,7,4.601371287611106e-05,0.12121212121212122,2.8571428571428572,7,2.1469074802955822e-05,12
alive,5.11,4.0,2.0,0.000717775494661738,0.135632183908046,0.00010596555432054925,30,3.651877954714237e-05,0.1,1.8571428571428572,7,9.9088037552075291e-06,5
allegiance,8.42,7.0,3.0,1.4217415111628183e-05,0.2857142857142857,1.0233899781067954e-05,7,4.47642350803433e-06,0.5,3.0,2,6.6058691701397769e-06,4
alley,7.26,3.0,2.0,0.0002129728624122771,0.07792207792207792,8.2026525630189863e-05,22,6.565114773094273e-10,0.3333333333333333,3.0,2,1.5953806817894593e-05,4
allow,5.32,3.0,2.0,0.00047478102059439757,0.12643678160919541,2.8287841412592265e-05,30,5.359403134721242e-05,0.12380952380952381,2.7999999999999998,10,2.9726411265627104e-05,15
almighty,8.47,6.0,3.0,0.00021685237351580465,0.19444444444444445,1.8831043906018713e-05,9,8.952518760330006e-06,0.6111111111111112,5.5,2,1.4863205632816218e-05,9
alone,4.94,4.0,2.0,0.0017044554918099696,0.058823529411764705,0.00020010015709236419,51,2.7592741532173162e-05,0.23076923076923078,3.3333333333333335,6,2.312054209548545e-05,13
alter,9.47,4.0,2.0,2.071753418875861e-05,0.4,1.9712554263231164e-05,5,2.25234260818009e-05,0.21428571428571427,2.7999999999999998,5,1.4863205632813989e-05,8
alternative,10.11,9.0,4.0,0.00033721657943803433,0.14285714285714285,1.8223792220809812e-05,14,6.6787826463108825e-06,0.3333333333333333,2.0,4,6.6058691701391924e-06,4
amateur,10.53,5.0,3.0,0.0006059333471909738,0.15833333333333333,1.3645133609688586e-05,16,1.875328769493875e-05,0.4,2.25,4,8.2573364626756672e-06,5
amaze,7.5,4.0,2.0,0.0008873851612102965,0.07352941176470588,1.4302187089041534e-05,17,8.952518760330005e-06,0.7794117647058824,9.5,2,2.807494397309212e-05,17
ambition,11.29,7.0,3.0,0.0004984555154025262,0.12380952380952381,2.1344536905489649e-05,21,4.47642350803433e-06,0.3333333333333333,2.0,3,4.9544018776060702e-06,3
amount,6.63,5.0,2.0,0.0008627489145507501,0.07665505226480836,7.6602436297153946e-05,42,5.055753868892137e-05,0.3333333333333333,2.8571428571428572,7,2.1469074802953413e-05,9
amp,12.11,3.0,1.0,0.0002546142714220995,0.23684210526315788,1.2823923690710603e-05,20,3.939068863856563e-09,0.3333333333333333,3.0,2,1.571951491047445e-05,4
analysis,11.32,8.0,4.0,0.0002750595309488442,0.13438735177865613,1.4550388651570126e-05,23,3.2825573865471363e-10,0.3333333333333333,1.5,6,1.7492940844443662e-05,3
analyze,11.39,6.0,3.0,0.0007325709440136675,0.07333333333333333,1.4023312522488012e-05,25,9.251120937134818e-06,0.4222222222222222,4.25,4,2.1469074802948836e-05,10
anatomy,11.94,7.0,4.0,0.00032771264849535694,0.14705882352941177,4.1041753891406654e-05,17,4.47642350803433e-06,0.8571428571428571,5.666666666666667,3,2.3120542095487764e-05,14
anchor,5.72,4.0,2.0,4.5212641336949795e-05,0.2,1.0488772916942859e-05,10,3.480140567746165e-05,0.21818181818181817,3.2000000000000002,5,1.8166140217883974e-05,11
angel,4.0,5.0,2.0,0.0004292393119469922,0.1038961038961039,5.8097563783862866e-05,22,8.952682888199332e-06,0.3,2.25,4,8.257336462675142e-06,5
anger,6.0,4.0,2.0,0.001236353392417813,0.07884615384615384,0.00014954571555008943,65,2.4614995138435674e-05,0.26666666666666666,2.3999999999999999,5,1.1560271047746135e-05,6
angle,8.05,5.0,2.0,0.0006490195008753068,0.16993464052287582,2.3127847818587793e-05,18,2.4589204418644756e-05,0.4666666666666667,2.0,8,1.3211738340278395e-05,6
animal,2.89,6.0,3.0,0.009996832410416524,0.03471494837647763,0.00068481505503471829,164,1.3450815282975943e-05,0.4642857142857143,5.0,2,1.3211738340279296e-05,8
announce,9.48,5.0,2.0,0.0004811385814351877,0.14285714285714285,1.4001292764202265e-05,22,6.856579191217855e-06,0.4,2.5,4,9.9088037552092773e-06,6
annoying,6.52,5.0,3.0,0.001395055242620252,0.08558558558558559,4.2492829461624188e-05,37,4.185314835105406e-05,0.6571428571428571,8.5,2,2.4772009388022267e-05,15
annual,9.26,6.0,3.0,0.00039511656424031386,0.05555555555555555,1.2362099774315211e-05,9,4.47642350803433e-06,0.3333333333333333,2.0,4,6.6058691701400869e-06,3
answer,5.43,4.0,2.0,0.0009200515030258806,0.06957047791893527,0.00018217915958044215,58,4.5657339431184765e-05,0.21818181818181817,1.8,15,1.9817607510417552e-05,11
anteater,8.5,6.0,3.0,0.00020850142188935674,0.2222222222222222,1.3503338156901704e-05,9,1.2966101676861188e-08,0.14545454545454545,3.1666666666666665,6,2.5236586392154682e-05,11
antenna,7.05,6.0,3.0,0.0006015536346328011,0.08571428571428572,1.3280141959202641e-05,15,1.5223519843424417e-05,0.3333333333333333,2.3333333333333335,3,6.6058691701389535e-06,3
antique,8.05,5.0,2.0,0.00012473787704103768,0.13333333333333333,1.5936888202492842e-05,15,3.274305150827518e-05,0.34615384615384615,2.8571428571428572,7,2.1469074802933938e-05,13
anxious,10.21,5.5,2.0,0.0004987228609953483,0.18472906403940886,3.8970168153185564e-05,29,1.0470840124316208e-05,0.6,3.5,2,8.2573364626748456e-06,5
ape,5.89,2.0,1.0,8.832110015628468e-05,0.2833333333333333,4.6997261526152633e-05,16,3.366915446842477e-05,0.4,2.2000000000000002,5,9.9088037552091283e-06,6
apex,12.58,5.0,2.0,0.00036926338300520567,0.13071895424836602,1.2263207047573565e-05,18,8.952518760330005e-06,0.4,3.5,2,8.2573364626739206e-06,5
appeal,10.21,4.0,2.0,0.00017020387616265294,0.16993464052287582,3.8743352766819687e-05,18,0.00010367865565973834,0.1388888888888889,2.1111111111111112,9,1.6514672925348871e-05,9
appear,6.67,4.0,2.0,0.00010171071554896089,0.16176470588235295,1.6272632407411936e-05,17,1.5744426716894476e-05,0.16666666666666666,1.7142857142857142,7,8.2573364626743187e-06,4
appearance,8.83,7.0,3.0,0.0004641233499496869,0.1471861471861472,1.4687023515122113e-05,22,1.342861401262568e-05,0.16666666666666666,1.6666666666666667,6,6.6058691701392043e-06,4
appendage,11.58,7.0,3.0,0.0002470750107104116,0.12727272727272726,1.794158379406393e-05,11,2.6853617212126157e-05,0.3333333333333333,2.3333333333333335,3,6.6058691701397142e-06,4
application,9.39,9.0,4.0,0.0004556173751897065,0.0784313725490196,1.2471470680693849e-05,18,2.2090597805117678e-05,0.09523809523809523,2.0,7,1.1560271047743191e-05,7
apply,9.21,4.0,2.0,2.3172873124904706e-06,0.3333333333333333,1.370192718883006e-05,3,6.373757445643559e-05,0.15151515151515152,2.2999999999999998,10,2.1469074802953054e-05,12
