Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
appear,6.67,4.0,2.0,0.00011133315767552593,0.16176470588235295,5.9638552420601695e-05,1.5744426716894476e-05,0.16666666666666666,1.7142857142857142,7,8.2573364626743187e-06,5.0
appearance,8.83,7.0,3.0,0.0003219107677630254,0.15714285714285714,2.9762237129290136e-05,1.342861401262568e-05,0.16666666666666666,1.6666666666666667,6,6.6058691701392043e-06,4.0
appendage,11.58,7.0,3.0,8.352381118934316e-05,0.15555555555555556,2.1555449313213263e-05,2.6853617212126157e-05,0.3333333333333333,2.3333333333333335,3,6.6058691701397142e-06,4.0
application,9.39,9.0,4.0,0.00011917041461560397,0.12087912087912088,2.5224699078469735e-05,2.2090597805117678e-05,0.09523809523809523,2.0,7,1.1560271047743191e-05,7.0
appointment,7.53,9.0,3.0,0.00013583019079387037,0.12380952380952381,2.7528348458637438e-05,2.0409879068170396e-05,0.19047619047619047,2.1666666666666665,6,1.1560271047744136e-05,7.0
appraise,14.52,5.0,2.0,8.570713856620834e-05,0.1794871794871795,2.0822716498589773e-05,6.0606850468433005e-06,0.6666666666666666,4.0,2,9.9088037552087403e-06,6.0
approval,7.95,7.0,3.0,0.0001287959100095998,0.14166666666666666,3.5920674347075516e-05,1.59326475722993e-05,0.2,2.25,4,8.2573364626746016e-06,5.0
arctic,7.79,5.5,2.0,3.946187721361734e-05,0.28888888888888886,2.0831285593380797e-05,2.3188981815147353e-05,0.25757575757575757,4.0,4,1.9817607510412609e-05,12.0
area,6.58,4.0,3.0,0.0007775013978117193,0.08067375886524823,0.00018872917944394115,1.4408948638710815e-05,0.3055555555555556,2.5,6,1.4863205632812159e-05,9.0
arena,9.57,4.0,3.0,6.940230418693008e-05,0.24761904761904763,2.2733549009861933e-05,1.3125407739123417e-05,0.3611111111111111,3.25,4,1.4863205632813193e-05,9.0
argue,4.61,5.0,2.0,0.00013411336753826257,0.15714285714285714,0.00016911481342710713,1.1171876344815913e-05,0.3,2.6666666666666665,3,8.2573364626741442e-06,5.0
